,sector,rating,next_rating,barrier
0,construction_immo,AAA,AAA,inf
1,construction_immo,A,AAA,inf
2,construction_immo,BBB,AAA,inf
3,construction_immo,BB,AAA,inf
4,construction_immo,B,AAA,inf
5,construction_immo,C,AAA,inf
6,construction_immo,AAA,A,-1.3451666341766395
7,construction_immo,A,A,2.406718326591992
8,construction_immo,BBB,A,inf
9,construction_immo,BB,A,3.0285870918568634
10,construction_immo,B,A,inf
11,construction_immo,C,A,inf
12,construction_immo,AAA,BBB,-1.3451666341766395
13,construction_immo,A,BBB,-1.4293018134072648
14,construction_immo,BBB,BBB,1.787002073632577
15,construction_immo,BB,BBB,2.8126176126137086
16,construction_immo,B,BBB,inf
17,construction_immo,C,BBB,inf
18,construction_immo,AAA,BB,-1.3451666341766395
19,construction_immo,A,BB,-2.2548161806682443
20,construction_immo,BBB,BB,-1.6222758338035161
21,construction_immo,BB,BB,1.1253464337404449
22,construction_immo,B,BB,2.681649951439839
23,construction_immo,C,BB,inf
24,construction_immo,AAA,B,-inf
25,construction_immo,A,B,-2.324089002557754
26,construction_immo,BBB,B,-2.6265314833329247
27,construction_immo,BB,B,-1.284356634478103
28,construction_immo,B,B,1.273935706580047
29,construction_immo,C,B,2.144410620911842
30,construction_immo,AAA,C,-inf
31,construction_immo,A,C,-inf
32,construction_immo,BBB,C,-2.8116282512369244
33,construction_immo,BB,C,-2.176953601626307
34,construction_immo,B,C,-1.3614162825407314
35,construction_immo,C,C,0.9944578832097535
36,construction_immo,AAA,D,-inf
37,construction_immo,A,D,-inf
38,construction_immo,BBB,D,-inf
39,construction_immo,BB,D,-2.812617612613718
40,construction_immo,B,D,-2.583935366446742
41,construction_immo,C,D,-1.75068607125217
42,extraction_primaire,AAA,AAA,inf
43,extraction_primaire,A,AAA,8.209536151601387
44,extraction_primaire,BBB,AAA,inf
45,extraction_primaire,BB,AAA,inf
46,extraction_primaire,B,AAA,8.209536151601387
47,extraction_primaire,C,AAA,8.209536151601387
48,extraction_primaire,AAA,A,-1.0538080593349768
49,extraction_primaire,A,A,1.9379315108528277
50,extraction_primaire,BBB,A,2.528979644180819
51,extraction_primaire,BB,A,inf
52,extraction_primaire,B,A,3.11383584003994
53,extraction_primaire,C,A,8.209536151601387
54,extraction_primaire,AAA,BBB,-1.8927271749816086
55,extraction_primaire,A,BBB,-0.6953402346145303
56,extraction_primaire,BBB,BBB,1.4647346517324658
57,extraction_primaire,BB,BBB,1.9763322896514612
58,extraction_primaire,B,BBB,2.48577258439863
59,extraction_primaire,C,BBB,8.209536151601387
60,extraction_primaire,AAA,BB,-1.8927271749816086
61,extraction_primaire,A,BB,-1.5803135088497542
62,extraction_primaire,BBB,BB,-0.9110865707473191
63,extraction_primaire,BB,BB,0.8881185461838035
64,extraction_primaire,B,BB,1.8477724195685683
65,extraction_primaire,C,BB,2.3878088977123526
66,extraction_primaire,AAA,B,-1.8927271749816086
67,extraction_primaire,A,B,-2.375107084194771
68,extraction_primaire,BBB,B,-1.7844133089994718
69,extraction_primaire,BB,B,-0.994285933319396
70,extraction_primaire,B,B,1.0912529644278819
71,extraction_primaire,C,B,1.560490268888484
72,extraction_primaire,AAA,C,-1.8927271749816086
73,extraction_primaire,A,C,-inf
74,extraction_primaire,BBB,C,-2.8932188201707087
75,extraction_primaire,BB,C,-1.8181732515866222
76,extraction_primaire,B,C,-0.8942444100126287
77,extraction_primaire,C,C,0.5922662438721784
78,extraction_primaire,AAA,D,-inf
79,extraction_primaire,A,D,-inf
80,extraction_primaire,BBB,D,-inf
81,extraction_primaire,BB,D,-3.07684362186557
82,extraction_primaire,B,D,-2.4378775736288008
83,extraction_primaire,C,D,-1.8263562979439065
84,finance,AAA,AAA,inf
85,finance,A,AAA,inf
86,finance,BBB,AAA,inf
87,finance,BB,AAA,inf
88,finance,B,AAA,inf
89,finance,C,AAA,inf
90,finance,AAA,A,-1.1996812495757796
91,finance,A,A,1.846303340946808
92,finance,BBB,A,inf
93,finance,BB,A,inf
94,finance,B,A,inf
95,finance,C,A,inf
96,finance,AAA,BBB,-2.331313362962937
97,finance,A,BBB,-1.4065964305642606
98,finance,BBB,BBB,1.3389672847994927
99,finance,BB,BBB,2.5146549374808957
100,finance,B,BBB,inf
101,finance,C,BBB,inf
102,finance,AAA,BB,-2.331313362962937
103,finance,A,BB,-2.7382869361881848
104,finance,BBB,BB,-1.6809924633354516
105,finance,BB,BB,1.334232536215153
106,finance,B,BB,2.59568256314634
107,finance,C,BB,inf
108,finance,AAA,B,-2.331313362962937
109,finance,A,B,-inf
110,finance,BBB,B,-2.9017728281383297
111,finance,BB,B,-1.4342905647972302
112,finance,B,B,1.6328766466287299
113,finance,C,B,1.7666033116854787
114,finance,AAA,C,-inf
115,finance,A,C,-inf
116,finance,BBB,C,-inf
117,finance,BB,C,-2.9286609517257984
118,finance,B,C,-1.2636978335252227
119,finance,C,C,0.6258688522455216
120,finance,AAA,D,-inf
121,finance,A,D,-inf
122,finance,BBB,D,-inf
123,finance,BB,D,-inf
124,finance,B,D,-2.78248290777268
125,finance,C,D,-2.339227327371289
126,industrie,AAA,AAA,inf
127,industrie,A,AAA,inf
128,industrie,BBB,AAA,inf
129,industrie,BB,AAA,inf
130,industrie,B,AAA,inf
131,industrie,C,AAA,inf
132,industrie,AAA,A,-0.9050318672420488
133,industrie,A,A,1.7607881390556652
134,industrie,BBB,A,2.8694353804626447
135,industrie,BB,A,inf
136,industrie,B,A,2.9733036921977165
137,industrie,C,A,inf
138,industrie,AAA,BBB,-1.9613870710566246
139,industrie,A,BBB,-1.1031690134514855
140,industrie,BBB,BBB,1.222451643114605
141,industrie,BB,BBB,2.449234707039074
142,industrie,B,BBB,2.8953069996518295
143,industrie,C,BBB,3.068293233659886
144,industrie,AAA,BB,-2.3952001307311104
145,industrie,A,BB,-2.1361690221471026
146,industrie,BBB,BB,-1.2459063831813473
147,industrie,BB,BB,1.22923963527568
148,industrie,B,BB,2.224805826526323
149,industrie,C,BB,2.430693236514044
150,industrie,AAA,B,-2.71415443420618
151,industrie,A,B,-2.7389631456618417
152,industrie,BBB,B,-2.238532853945553
153,industrie,BB,B,-1.1574617080065008
154,industrie,B,B,1.3653659917662642
155,industrie,C,B,1.8632100223494743
156,industrie,AAA,C,-inf
157,industrie,A,C,-2.9594722948061953
158,industrie,BBB,C,-3.282745754312961
159,industrie,BB,C,-2.3335701779831575
160,industrie,B,C,-1.3494622050563359
161,industrie,C,C,0.7483453388367308
162,industrie,AAA,D,-inf
163,industrie,A,D,-3.4243231622836636
164,industrie,BBB,D,-inf
165,industrie,BB,D,-3.1576125703472506
166,industrie,B,D,-2.7310582456222714
167,industrie,C,D,-2.168246515346805
168,info-com,AAA,AAA,inf
169,info-com,A,AAA,inf
170,info-com,BBB,AAA,inf
171,info-com,BB,AAA,inf
172,info-com,B,AAA,inf
173,info-com,C,AAA,inf
174,info-com,AAA,A,-1.411356458239454
175,info-com,A,A,1.8798338985001442
176,info-com,BBB,A,2.8157613430521304
177,info-com,BB,A,inf
178,info-com,B,A,inf
179,info-com,C,A,inf
180,info-com,AAA,BBB,-inf
181,info-com,A,BBB,-1.0868023182719326
182,info-com,BBB,BBB,1.4898904562927535
183,info-com,BB,BBB,2.6498105706663013
184,info-com,B,BBB,inf
185,info-com,C,BBB,inf
186,info-com,AAA,BB,-inf
187,info-com,A,BB,-1.9627674413602199
188,info-com,BBB,BB,-1.1028944776204754
189,info-com,BB,BB,1.674870047519609
190,info-com,B,BB,2.6577195536298683
191,info-com,C,BB,inf
192,info-com,AAA,B,-inf
193,info-com,A,B,-inf
194,info-com,BBB,B,-2.214942808981266
195,info-com,BB,B,-1.1349987576168017
196,info-com,B,B,1.6465510948224766
197,info-com,C,B,2.4309271823498153
198,info-com,AAA,C,-inf
199,info-com,A,C,-inf
200,info-com,BBB,C,-2.682873012587406
201,info-com,BB,C,-2.472349579651006
202,info-com,B,C,-1.4382975373141356
203,info-com,C,C,1.210978579201194
204,info-com,AAA,D,-inf
205,info-com,A,D,-inf
206,info-com,BBB,D,-3.03154084153287
207,info-com,BB,D,-3.206783038866467
208,info-com,B,D,-2.589362386704396
209,info-com,C,D,-2.306470845732897
210,public,AAA,AAA,inf
211,public,A,AAA,inf
212,public,BBB,AAA,inf
213,public,BB,AAA,inf
214,public,B,AAA,inf
215,public,C,AAA,inf
216,public,AAA,A,-1.030471243436395
217,public,A,A,2.1772770588254096
218,public,BBB,A,inf
219,public,BB,A,2.7290053414092807
220,public,B,A,3.0037587719098835
221,public,C,A,inf
222,public,AAA,BBB,-1.524074748312305
223,public,A,BBB,-1.287167229944023
224,public,BBB,BBB,1.5196335368371248
225,public,BB,BBB,2.6327330151811075
226,public,B,BBB,3.0037587719098835
227,public,C,BBB,inf
228,public,AAA,BB,-1.6664816007483279
229,public,A,BB,-2.3655507978154016
230,public,BBB,BB,-1.4137751301384085
231,public,BB,BB,1.621934545992089
232,public,B,BB,2.7130518884727213
233,public,C,BB,2.983140805773535
234,public,AAA,B,-2.146005875194095
235,public,A,B,-2.8128808801879757
236,public,BBB,B,-2.287392065571758
237,public,BB,B,-1.3026492153174734
238,public,B,B,1.8906830482439119
239,public,C,B,2.5298150009812828
240,public,AAA,C,-2.146005875194095
241,public,A,C,-3.149292803336551
242,public,BBB,C,-2.9358881378029187
243,public,BB,C,-2.5226817846192833
244,public,B,C,-1.2853595579536907
245,public,C,C,1.1616841997628904
246,public,AAA,D,-inf
247,public,A,D,-inf
248,public,BBB,D,-inf
249,public,BB,D,-3.0732341741633817
250,public,B,D,-2.7477813854449926
251,public,C,D,-2.189911297669604
252,services,AAA,AAA,inf
253,services,A,AAA,inf
254,services,BBB,AAA,inf
255,services,BB,AAA,inf
256,services,B,AAA,inf
257,services,C,AAA,inf
258,services,AAA,A,-0.8512169848930047
259,services,A,A,1.5996198249120286
260,services,BBB,A,3.087696190809508
261,services,BB,A,inf
262,services,B,A,inf
263,services,C,A,inf
264,services,AAA,BBB,-1.6764734883274863
265,services,A,BBB,-1.0627006240353827
266,services,BBB,BBB,1.442119075306334
267,services,BB,BBB,2.8496767925826383
268,services,B,BBB,inf
269,services,C,BBB,inf
270,services,AAA,BB,-1.9307683527523105
271,services,A,BB,-2.1590236904759323
272,services,BBB,BB,-1.326818180014338
273,services,BB,BB,1.1659917100198296
274,services,B,BB,2.3810958533583046
275,services,C,BB,2.663338942688997
276,services,AAA,B,-2.2150613646042463
277,services,A,B,-2.6287878391783503
278,services,BBB,B,-2.1801193847314537
279,services,BB,B,-1.1696073751133298
280,services,B,B,1.41693570542226
281,services,C,B,1.957487879725366
282,services,AAA,C,-inf
283,services,A,C,-inf
284,services,BBB,C,-2.509130553099251
285,services,BB,C,-2.0305084123945703
286,services,B,C,-1.2029417845425212
287,services,C,C,0.8653491251437435
288,services,AAA,D,-inf
289,services,A,D,-inf
290,services,BBB,D,-inf
291,services,BB,D,-2.8496767925826334
292,services,B,D,-2.5636855765080964
293,services,C,D,-1.925565841294242
294,services_pro,AAA,AAA,inf
295,services_pro,A,AAA,inf
296,services_pro,BBB,AAA,8.209536151601387
297,services_pro,BB,AAA,inf
298,services_pro,B,AAA,inf
299,services_pro,C,AAA,inf
300,services_pro,AAA,A,-1.1652879896966826
301,services_pro,A,A,1.7833204060483208
302,services_pro,BBB,A,2.479466885301661
303,services_pro,BB,A,inf
304,services_pro,B,A,inf
305,services_pro,C,A,inf
306,services_pro,AAA,BBB,-inf
307,services_pro,A,BBB,-1.1541291966340235
308,services_pro,BBB,BBB,1.216789777201825
309,services_pro,BB,BBB,inf
310,services_pro,B,BBB,inf
311,services_pro,C,BBB,inf
312,services_pro,AAA,BB,-inf
313,services_pro,A,BB,-inf
314,services_pro,BBB,BB,-1.6843954831101975
315,services_pro,BB,BB,1.6784245479853224
316,services_pro,B,BB,inf
317,services_pro,C,BB,inf
318,services_pro,AAA,B,-inf
319,services_pro,A,B,-inf
320,services_pro,BBB,B,-inf
321,services_pro,BB,B,-1.2055805184029902
322,services_pro,B,B,2.2357221244717853
323,services_pro,C,B,inf
324,services_pro,AAA,C,-inf
325,services_pro,A,C,-inf
326,services_pro,BBB,C,-inf
327,services_pro,BB,C,-inf
328,services_pro,B,C,-1.2851739599895098
329,services_pro,C,C,0.8271302058416301
330,services_pro,AAA,D,-inf
331,services_pro,A,D,-inf
332,services_pro,BBB,D,-inf
333,services_pro,BB,D,-inf
334,services_pro,B,D,-2.8606053957804676
335,services_pro,C,D,-1.7412906000251969
